v2.7.99, 2021-10-07
v2.7.0-rc4, 2021-10-02
v2.7.0-rc3, 2021-09-27
v1.14.3-rc2, 2021-09-22
v2.7.0-rc2, 2021-09-17
v2.7.0-rc1, 2021-09-03
v2.6.1-rc1, 2021-08-03
v2.5.1-rc1, 2021-08-03
v1.14.3-rc1, 2021-08-03
v2.6.0, 2021-06-04
v2.6.0-rc3, 2021-06-01
v2.6.0-rc2, 2021-05-27
v2.6.0-rc1, 2021-05-10
v2.5.0, 2021-02-14
v2.5.0-rc4, 2021-02-12
v2.5.0-rc3, 2021-02-07
v2.5.0-rc2, 2021-02-03
v2.5.0-rc1, 2021-01-24
v2.4.0, 2020-09-27
v2.4.0-rc3, 2020-09-24
v2.4.0-rc2, 2020-09-19
v2.4.0-rc1, 2020-09-05
v2.3.0, 2020-06-05
v2.3.0-rc2, 2020-06-03
v2.2.1, 2020-05-29
v2.3.0-rc1, 2020-05-10
v1.14.2, 2020-04-19
v2.2.0, 2020-03-10
v2.2.0-rc3, 2020-02-29
v2.2.0-rc2, 2020-02-25
v2.2.0-rc1, 2020-02-08
v2.1.0, 2019-12-08
v2.1.0-rc3, 2019-12-03
v2.1.0-rc2, 2019-11-27
v2.1.0-rc1, 2019-11-10
v1.14.1, 2019-10-06
v1.14.1-rc3, 2019-10-06
v2.0.0, 2019-09-07
v2.0.0-rc3, 2019-09-04
v2.0.0-rc2, 2019-08-29
v1.14.1-rc2, 2019-08-20
v2.0.0-rc1, 2019-08-11
v1.14.1-rc1, 2019-07-05
v1.14.0, 2019-04-16
v1.14.0-rc3, 2019-03-28
v1.14.0-rc2, 2019-03-15
v1.14.0-rc1, 2019-02-11
v1.13.0, 2018-09-10
v1.13.0-rc3, 2018-09-06
v1.13.0-rc2, 2018-08-30
v1.13.0-rc1, 2018-08-22
v1.12.0, 2018-06-11
v1.12.0-rc3, 2018-06-09
v1.12.0-rc2, 2018-05-29
v1.12.0-rc1, 2018-05-19
v1.11.0, 2018-03-10
v1.11.0-rc3, 2018-03-08
v1.11.0-rc2, 2018-03-04
v1.11.0-rc1, 2018-02-22
v1.10.0, 2017-12-08
v1.10.0-rc3, 2017-12-05
v1.10.0-rc2, 2017-11-28
v1.10.0-rc1, 2017-11-19
v1.9.2, 2017-11-19
v1.9.1, 2017-10-11
v1.9.0, 2017-09-07
v1.9.0-rc4, 2017-09-07
v1.9.0-rc3, 2017-09-04
v1.9.0-rc2, 2017-08-25
v1.9.0-rc1, 2017-08-17
v1.8.0, 2017-06-15
v1.8.0-rc4, 2017-06-13
v1.8.0-rc3, 2017-06-08
v1.8.99, 2017-06-07
v1.8.0-rc2, 2017-05-31
v1.8.0-rc1, 2017-05-21
v1.7.1, 2017-05-15
v1.6.1, 2017-05-15
v1.6.1-rc, 2017-04-27
v1.7.1-rc, 2017-04-27
v1.7.0, 2017-03-11
v1.7.0-rc4, 2017-03-08
v1.7.0-rc3, 2017-03-01
v1.7.0-rc2, 2017-02-23
v1.7.0-rc1, 2017-02-15
v1.7.99, 2017-02-15
v1.6.99, 2017-01-17
v1.6.0, 2016-12-03
v1.6.0-rc4, 2016-12-01
v1.6.0-rc3, 2016-11-28
v1.6.0-rc2, 2016-11-19
v1.6.0-rc1, 2016-11-13
v1.5.0, 2016-08-26
v1.5.0-rc4, 2016-08-25
v1.5.0-rc3, 2016-08-19
v1.5.0-rc2, 2016-08-12
v1.5.0-rc1, 2016-08-05
v1.5.0-rc0, 2016-08-02
v1.4.0, 2016-06-03
v1.4.0-rc3, 2016-06-02
v1.4.0-rc2, 2016-06-01
v1.4.0-rc1, 2016-05-29
v1.3.0, 2016-05-02
v1.3.0-rc2, 2016-04-27
v1.3.0-rc1, 2016-04-25
v1.2.0, 2016-04-02
v1.2.0-rc2, 2016-03-31
v1.2.0-rc1, 2016-03-27
v1.1.0, 2016-03-05
v1.1.0-rc1, 2016-03-02
v1.0.0, 2016-02-08
